2024-01-01	우유/유제품	서울우유 2.3L	4980	1	4980
2024-01-01	채소	하루채소 양배추	990	1	990
2024-01-01	채소	예냉솎음	1660	1	1660
2024-01-12	채소	청정원국산콩나물340g	2480	1	2480
2024-01-12	채소	예냉솎음	1660	1	1660
2024-01-12	제지/위생/건강	코디내추럴미용230*6	9500	1	9500
2024-01-12	정육/계란류	기획 구운란 32	3400	1	3400
2024-01-20	채소	애호박(개) 공급처:	9900	1	9900
2024-01-20	채소	알배기 (1입)	7320	3	21960
2024-01-30	정육/계란류	기획 구운란 31	9500	1	9500
2024-01-30	채소	애호박(개) 공급처:	1480	2	2960
2024-02-09	우유/유제품	비피더스명장 17입	9900	1	9900
2024-02-09	채소	10* 미국산 만다린 1.8kg/	9980	1	9980
2024-02-09	채소	하루채소 양배추	990	1	990
2024-02-09	채소	애호박(개) 공급처:	1480	2	2960
2024-02-18	정육/계란류	기획 구운란 32	3400	1	3400
2024-02-21	채소	애호박(개) 공급처:	9900	1	9900
2024-03-20	채소	알배기 (1입)	7320	3	21960
2024-04-02	정육/계란류	풀무원 동물복지 유정란 15개입(대란, 780g)			0
2024-04-03	제지/위생/건강	코디내추럴미용230*6	9500	1	9500
2024-04-03	제지/위생/건강	메디안듀얼이펙션칫솔	3400	1	3400
2024-04-03	채소	청정원국산콩나물340g	2480	1	2480
2024-04-03	채소	예냉솎음	1660	1	1660
2024-04-03	제지/위생/건강	코디내추럴미용230*6	9500	1	9500
2024-04-03	제지/위생/건강	메디안듀얼이펙션칫솔	3400	1	3400
2024-04-03	채소	애호박(개) 공급처:	1480	2	2960
2024-04-03	우유/유제품	비피더스명장 17입	9900	1	9900
2024-04-14	채소	10* 미국산 만다린 1.8kg/	9980	1	9980
2024-04-14	채소	청도미나리	4980	1	4980
2024-04-14	채소	(A)양파(1.8kg/망)	4780	1	4780
2024-04-14	채소	파머스픽 흙대파(봉)	2120	1	2120
